ukcode,jycode,inputcode,chabbr
1114113,17,SJXY,000005,世纪星源
1114114,14,GNKJ,000004,国农科技
1114115,6,WKA,000002,万  科Ａ
1114116,3,PAYH,000001,平安银行
1114117,28,ZGBA,000009,中国宝安
1114119,38,NBA,000012,南  玻Ａ
1114120,47,SKJA,000016,深康佳Ａ
1114121,34,SWYA,000011,深物业Ａ
1114122,49,SZHA,000017,深中华Ａ
1114123,23,QXH,000007,全 新 好
1114124,20,SZYA,000006,深振业Ａ
1114125,55,SHFA,000020,深华发Ａ
1114127,26,SZGT,000008,神州高铁
1114128,43,SHGF,000014,沙河股份
1114129,51,SZCC,000018,神州长城
1114131,53,SSBA,000019,深深宝Ａ
1114132,181,EWSA,000501,鄂武商Ａ
1114133,182,LJKG,000502,绿景控股
1114134,184,HHKG,000503,海虹控股
1114135,185,NHSW,000504,南华生物
1114136,186,ZJKG,000505,珠江控股
1114137,188,ZRZY,000506,中润资源
1114138,189,ZHG,000507,珠 海 港
1114139,60,STDA,000023,深天地Ａ
1114141,58,SCWA,000022,深赤湾Ａ
1114142,191,HSKG,000509,华塑控股
1114143,192,JLJT,000510,金路集团
1114144,193,STXT,000511,*ST 烯碳
1114145,65,FYDA,000026,飞亚达Ａ
1114147,63,TLA,000025,特  力Ａ
1114149,196,YKF,000514,渝 开 发
1114150,199,RADC,000517,荣安地产
1114151,198,GJYX,000516,国际医学
1114152,68,GYYZ,000028,国药一致
1114153,67,SZNY,000027,深圳能源
1114154,200,SHSW,000518,四环生物
1114155,70,SSFA,000029,深深房Ａ
1114156,72,FAGF,000030,富奥股份
1114157,74,ZLDC,000031,中粮地产
1114158,201,ZBHJ,000519,中兵红箭
1114159,203,MLDQ,000521,美菱电器
1114160,202,CHFH,000520,长航凤凰
1114161,194,LZJT,000513,丽珠集团
1114162,208,HTY,000525,红 太 阳
1114163,75,SSDA,000032,深桑达Ａ
1114164,209,STZX,000526,*ST 紫学
1114165,206,GZLQ,000523,广州浪奇
1114168,207,LNKG,000524,岭南控股
1114169,211,LG,000528,柳    工
1114170,212,GHKG,000529,广弘控股
1114171,226,FSZM,000541,佛山照明
1114172,223,YDLA,000539,粤电力Ａ
1114173,220,HYKJ,000536,华映科技
1114174,233,HTFZ,000547,航天发展
1114177,236,JLQC,000550,江铃汽车
1114178,240,SLDA,000553,沙隆达Ａ
1114179,230,ZYHB,000544,中原环保
1114180,213,DLGF,000530,大冷股份
1114181,221,GYFZ,000537,广宇发展
1114182,231,JPTY,000545,金浦钛业
1114183,232,JYGF,000546,金圆股份
1114184,242,TSSY,000554,泰山石油
1114185,222,YNBY,000538,云南白药
1114187,234,HNTZ,000548,湖南投资
1114188,229,WNDL,000543,皖能电力
1114189,216,HJZB,000532,华金资本
1114190,217,WJL,000533,万 家 乐
1114191,76,XDT,000033,新 都 退
1114192,215,SHYA,000531,穗恒运Ａ
1114193,239,JYMD,000552,靖远煤电
1114194,238,CYKJ,000551,创元科技
1114195,247,WXQC,000559,万向钱潮
1114196,251,SGTA,000563,陕国投Ａ
1114197,218,WZGF,000534,万泽股份
1114198,252,GXDJ,000564,供销大集
1114199,248,KBDA,000560,昆百大Ａ
1114200,225,ZTJR,000540,中天金融
1114201,57,SKJ,000021,深 科 技
1114203,243,SZXX,000555,神州信息
1114204,253,YSXA,000565,渝三峡Ａ
1114205,78,ZGTY,000035,中国天楹
1114206,83,ZJJT,000039,中集集团
1114208,77,SZSM,000034,神州数码
1114209,256,LZLJ,000568,泸州老窖
1114210,249,FHDZ,000561,烽火电子
1114211,246,LYTY,000558,莱茵体育
1114212,260,XDZA,000571,新大洲Ａ
1114213,255,HDGF,000567,海德股份
1114214,254,HNHY,000566,海南海药
1114216,245,XBCY,000557,西部创业
1114217,79,HLKG,000036,华联控股
1114218,258,SCCA,000570,苏常柴Ａ
1114219,80,SNDA,000037,深南电Ａ
1114220,85,DXLT,000040,东旭蓝天
1114221,261,HMQC,000572,海马汽车
1114222,82,SDT,000038,深 大 通
1114223,88,SFZA,000045,深纺织Ａ
1114224,262,YHYA,000573,粤宏远Ａ
1114225,263,GDGH,000576,广东甘化
1114226,90,FHKG,000046,泛海控股
1114227,86,ZZKG,000042,中洲控股
1114228,87,ZHDC,000043,中航地产
1114230,92,KDE,000048,康 达 尔
1114232,94,STMA,000050,深天马Ａ
1114233,93,DSDC,000049,德赛电池
1114234,31,MLST,000010,美丽生态
1114236,267,BBWG,000582,北部湾港
1114237,269,YLKG,000584,友利控股
1114238,270,DBDQ,000585,东北电气
1114239,272,HYTX,000586,汇源通信
1114240,276,QDGH,000590,启迪古汉
1114242,277,TYN,000591,太 阳 能
1114243,275,QLTA,000589,黔轮胎Ａ
1114244,279,DTRQ,000593,大通燃气
1114246,278,PTFZ,000592,平潭发展
1114247,95,FDJT,000055,方大集团
1114248,281,STBS,000595,*ST 宝实
1114249,273,JZCH,000587,金洲慈航
1114250,286,QDSX,000599,青岛双星
1114251,284,DBZY,000597,东北制药
1114252,285,XRHJ,000598,兴蓉环境
1114253,287,JTNY,000600,建投能源
1114254,148,JDSN,000401,冀东水泥
1114255,151,HYYS,000404,华意压缩
1114257,149,JRJ,000402,金 融 街
1114258,156,SDDK,000409,山东地矿
1114259,155,JGY,000408,金 谷 源
1114261,150,STSH,000403,ST 生 化
1114262,154,SLGF,000407,胜利股份
1114263,97,HTGJ,000056,皇庭国际
1114265,158,YTJT,000411,英特集团
1114266,162,BHJK,000415,渤海金控
1114267,157,STSJ,000410,*ST 沈机
1114268,163,MSKG,000416,民生控股
1114269,171,DEEJ,000423,东阿阿胶
1114270,168,JLHX,000420,吉林化纤
1114271,169,NJGY,000421,南京公用
1114272,174,HTJD,000428,华天酒店
1114273,164,HFBH,000417,合肥百货
1114274,170,HBYH,000422,湖北宜化
1114275,167,TCKG,000419,通程控股
1114277,290,SDKY,000603,盛达矿业
1114278,173,XYKY,000426,兴业矿业
1114279,172,XGJX,000425,徐工机械
1114280,177,ZJJ,000430,张 家 界
1114281,293,HMKG,000607,华媒控股
1114282,288,SNGF,000601,韶能股份
1114283,291,BHGF,000605,渤海股份
1114284,294,YGGF,000608,阳光股份
1114285,160,DXGD,000413,东旭光电
1114286,296,XALY,000610,西安旅游
1114287,298,JZWF,000612,焦作万方
1114288,282,GJGJ,000596,古井贡酒
1114289,292,SZYQ,000606,神州易桥
1114290,297,STTS,000611,*ST 天首
1114291,295,MSTZ,000609,绵石投资
1114293,301,JHGF,000615,京汉股份
1114294,303,ZYZB,000617,中油资本
1114295,306,HLXC,000619,海螺型材
1114296,310,JLAD,000623,吉林敖东
1114297,307,XHL,000620,新 华 联
1114299,309,HLSY,000622,恒立实业
1114300,302,HHTZ,000616,海航投资
1114301,322,HJTZ,000633,合金投资
1114302,314,TMJT,000627,天茂集团
1114303,325,MHSH,000637,茂化实华
1114304,316,STFT,000629,*ST 钒钛
1114305,329,GLDQ,000651,格力电器
1114306,315,GXFZ,000628,高新发展
1114307,323,YLT,000635,英 力 特
1114308,318,TLYS,000630,铜陵有色
1114309,321,SMJT,000632,三木集团
1114310,320,SFHY,000631,顺发恒业
1114312,327,XWSP,000639,西王食品
1114313,326,WFFZ,000638,万方发展
1114314,330,TDGF,000652,泰达股份
1114315,333,JKGF,000656,金科股份
1114316,313,YDKG,000626,远大控股
1114317,332,JLKY,000655,金岭矿业
1114318,324,FHGK,000636,风华高科
1114319,336,STZF,000659,*ST 中富
1114320,334,ZWGX,000657,中钨高新
1114321,344,MHZY,000667,美好置业
1114322,340,YALY,000663,永安林业
1114324,328,RHYY,000650,仁和药业
1114325,346,JHNY,000669,金鸿能源
1114326,345,RFKG,000668,荣丰控股
1114327,341,HBGD,000665,湖北广电
1114328,342,JWFJ,000666,经纬纺机
1114329,339,TXZH,000662,天夏智慧
1114330,347,YFW,000670,盈 方 微
1114331,349,SFSN,000672,上峰水泥
1114332,338,CCGX,000661,长春高新
1114333,348,YGC,000671,阳 光 城
1114335,352,ZDGF,000676,智度股份
1114336,99,SSG,000058,深 赛 格
1114337,353,HTHL,000677,恒天海龙
1114340,354,XYZC,000678,襄阳轴承
1114341,103,NCP,000061,农 产 品
1114342,363,JXKY,000688,建新矿业
1114343,358,DFDZ,000682,东方电子
1114344,357,SJZG,000681,视觉中国
1114345,356,STGF,000680,山推股份
1114346,102,ZJLN,000060,中金岭南
1114347,360,ZSGY,000685,中山公用
1114348,355,DLYY,000679,大连友谊
1114349,350,DDDF,000673,当代东方
1114350,365,BXNY,000690,宝新能源
1114351,299,STDHA,000613,*ST东海A
1114352,101,HJGF,000059,华锦股份
1114353,104,SZHQ,000062,深圳华强
1114354,359,YXNY,000683,远兴能源
1114355,369,BHNY,000695,滨海能源
1114356,374,SYHG,000698,沈阳化工
1114357,362,HXFZ,000687,华讯方舟
1114358,377,XMXD,000701,厦门信达
1114359,368,STHZ,000693,*ST 华泽
1114360,361,DBZQ,000686,东北证券
1114361,367,HTRD,000692,惠天热电
1114362,376,MSKJ,000700,模塑科技
1114363,366,STYT,000691,ST 亚太
1114364,372,ZSDL,001696,宗申动力
1114366,378,ZHKJ,000702,正虹科技
1114367,373,LSYS,000697,炼石有色
1114368,382,DYTG,000708,大冶特钢
1114369,379,HYSH,000703,恒逸石化
1114370,165,XTEA,000418,小天鹅Ａ
1114371,392,DDCM,000719,大地传媒
1114372,391,SNHQ,000718,苏宁环球
1114373,380,ZJZY,000705,浙江震元
1114374,385,JLKJ,000711,京蓝科技
1114375,381,SHKJ,000707,双环科技
1114376,386,JLGF,000712,锦龙股份
1114377,383,HGGF,000709,河钢股份
1114378,423,ZSGF,000758,中色股份
1114379,389,HZM,000716,黑 芝 麻
1114380,147,XJDQ,000400,许继电气
1114381,384,STTY,000710,*ST 天仪
1114382,387,FLZY,000713,丰乐种业
1114383,410,ZFDC,000736,中房地产
1114384,411,NFHG,000737,南风化工
1114385,394,XAYS,000721,西安饮食
1114386,431,THJM,000766,通化金马
1114387,388,ZXSY,000715,中兴商业
1114388,390,SGSS,000717,韶钢松山
1114389,413,PLYY,000739,普洛药业
1114390,393,XNTS,000720,新能泰山
1114391,396,MJNY,000723,美锦能源
1114392,424,ZBJT,000759,中百集团
1114393,401,HDKJ,000727,华东科技
1114395,395,HNFZ,000722,湖南发展
1114396,438,SMPS,000779,三毛派神
1114398,443,BXJC,000786,北新建材
1114399,437,XXZG,000778,新兴铸管
1114400,439,STPN,000780,*ST 平能
1114401,432,ZZDL,000767,漳泽电力
1114402,180,SDLQ,000498,山东路桥
1114403,311,CAQC,000625,长安汽车
1114404,435,GFZQ,000776,广发证券
1114405,108,HKSG,000068,华控赛格
1114406,409,LNS,000735,罗 牛 山
1114407,445,BDYY,000788,北大医药
1114408,402,GYZQ,000728,国元证券
1114409,480,DGKG,000828,东莞控股
1114410,406,SCMF,000731,四川美丰
1114411,456,YQJC,000800,一汽轿车
1114412,440,MDGF,000782,美达股份
1114413,472,YYXC,000819,岳阳兴长
1114414,417,XZFZ,000752,西藏发展
1114416,107,ZGCC,000066,中国长城
1114417,416,XYGF,000751,锌业股份
1114418,433,ZHFJ,000768,中航飞机
1114419,412,HFKZ,000738,航发控制
1114420,418,ZZFZ,000753,漳州发展
1114421,489,CXFZ,000838,财信发展
1114422,425,STE,000760,斯 太 尔
1114423,419,STSW,000755,*ST 三维
1114424,422,HWGF,000757,浩物股份
1114425,408,ZHKJ,000733,振华科技
1114426,452,KSLY,000796,凯撒旅游
1114427,407,THJT,000732,泰禾集团
1114429,428,XZKY,000762,西藏矿业
1114430,415,GHZQ,000750,国海证券
1114431,436,ZHKJ,000777,中核科技
1114432,442,WHZS,000785,武汉中商
1114433,453,ZGWY,000797,中国武夷
1114434,403,YJPJ,000729,燕京啤酒
